team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position
UTA,/players/c/clarkjo01.html,2,Jordan Clarkson,31,43,19,30.0,6.2,14.9,.415,1.6,5.6,.290,4.6,9.3,.490,.470,3.3,3.7,.875,0.9,2.4,3.4,4.8,0.6,0.1,2.7,1.3,17.3,SG
UTA,/players/c/collijo01.html,3,John Collins,26,49,47,27.8,5.7,10.9,.522,1.2,3.5,.343,4.5,7.4,.608,.578,1.8,2.3,.781,2.2,5.9,8.1,1.0,0.6,0.8,1.3,2.8,14.4,PF
UTA,/players/s/sextoco01.html,4,Collin Sexton,25,53,30,24.4,5.9,12.3,.482,1.5,4.0,.387,4.4,8.3,.527,.544,4.1,4.7,.871,0.9,1.7,2.5,4.5,0.7,0.2,1.9,2.0,17.5,PG
UTA,/players/g/georgke01.html,5,Keyonte George,20,47,16,24.3,3.6,9.3,.386,1.7,5.2,.333,1.9,4.1,.453,.479,2.4,3.0,.821,0.3,2.5,2.8,4.2,0.4,0.1,2.0,1.0,11.3,
UTA,/players/k/kesslwa01.html,6,Walker Kessler,22,45,14,23.2,3.7,5.6,.661,0.1,0.4,.250,3.6,5.3,.689,.669,0.9,1.6,.542,2.6,4.9,7.5,0.8,0.5,2.8,1.0,2.1,8.4,C
UTA,/players/f/fontesi01.html,7,Simone Fontecchio,28,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9,SF
UTA,/players/h/hortota01.html,8,Talen Horton-Tucker,23,33,11,20.9,3.9,9.5,.406,1.2,3.5,.328,2.7,6.0,.452,.467,1.7,2.2,.770,0.5,2.1,2.5,4.0,1.0,0.3,1.5,1.9,10.6,SG
WAS,/players/k/kuzmaky01.html,1,Kyle Kuzma,28,51,51,31.7,8.5,18.8,.456,2.3,6.8,.332,6.3,11.9,.526,.516,2.5,3.1,.801,1.0,5.4,6.3,4.2,0.4,0.7,2.6,2.2,21.8,PF
WAS,/players/p/poolejo01.html,2,Jordan Poole,24,50,50,29.2,5.7,14.1,.404,1.9,6.3,.300,3.8,7.7,.490,.472,2.6,3.0,.859,0.4,2.0,2.3,3.7,1.0,0.3,2.1,3.2,15.8,PG
WAS,/players/j/jonesty01.html,3,Tyus Jones,27,52,52,28.7,5.2,10.5,.498,1.6,3.8,.421,3.6,6.7,.542,.574,0.5,0.7,.765,0.3,2.5,2.8,6.5,1.1,0.3,0.9,0.8,12.6,PG
WAS,/players/a/avdijde01.html,4,Deni Avdija,23,52,52,27.8,4.8,9.4,.515,1.1,2.7,.393,3.8,6.7,.565,.572,2.3,3.0,.747,1.0,5.4,6.4,3.8,0.8,0.4,1.9,2.5,13.0,SF
WAS,/players/c/coulibi01.html,5,Bilal Coulibaly,19,51,4,26.8,3.0,6.7,.453,1.0,2.7,.371,2.0,3.9,.510,.529,1.4,2.0,.706,0.8,3.2,4.1,1.8,0.9,0.8,1.5,2.1,8.5,
WAS,/players/g/gaffoda01.html,6,Daniel Gafford,25,45,45,26.5,4.5,6.5,.690,0.0,0.0,,4.5,6.5,.690,.690,1.9,2.6,.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9,C
WAS,/players/b/baglema01.html,7,Marvin Bagley III,24,9,3,23.0,5.3,9.3,.571,0.1,0.4,.250,5.2,8.9,.588,.577,3.2,4.9,.659,3.7,3.9,7.6,1.2,0.6,0.6,1.8,2.8,14.0,C
WAS,/players/k/kispeco01.html,8,Corey Kispert,24,51,1,22.2,4.3,8.8,.489,2.0,5.5,.362,2.3,3.4,.696,.601,1.4,1.8,.778,0.3,2.1,2.4,1.5,0.4,0.2,1.0,1.5,12.0,SF
