Player,team,Rk,G,Date,Age,Tm,Place,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jalen Johnson,ATL,12,12.0,2023-11-17,21-334,ATL,,PHI,L (-10),1,36:20,7.0,12.0,0.583,0.0,2.0,0.0,4.0,4.0,1.0,1.0,9.0,10.0,2.0,1.0,3.0,0.0,2.0,18.0,19.5,3.0
Jalen Johnson,ATL,13,13.0,2023-11-21,21-338,ATL,,IND,L (-5),1,33:11,6.0,12.0,0.5,0.0,2.0,0.0,5.0,5.0,1.0,1.0,6.0,7.0,6.0,2.0,1.0,1.0,2.0,17.0,18.6,-4.0
Jalen Johnson,ATL,14,14.0,2023-11-22,21-339,ATL,,BRK,W (+2),1,40:00,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,,0.0,6.0,6.0,3.0,2.0,1.0,5.0,3.0,7.0,3.7,-15.0
Jalen Johnson,ATL,15,15.0,2023-11-25,21-342,ATL,Away,WAS,W (+28),1,8:28,3.0,4.0,0.75,1.0,2.0,0.5,1.0,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,10.1,7.0
Jalen Johnson,ATL,30,16.0,2023-12-26,22-008,ATL,Away,CHI,L (-5),1,29:12,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,,3.0,6.0,9.0,4.0,1.0,0.0,2.0,1.0,10.0,11.7,-9.0
Jalen Johnson,ATL,31,17.0,2023-12-29,22-011,ATL,,SAC,L (-7),1,35:04,5.0,12.0,0.417,1.0,4.0,0.25,5.0,6.0,0.833,2.0,13.0,15.0,4.0,0.0,1.0,4.0,2.0,16.0,13.2,-7.0
Jalen Johnson,ATL,32,18.0,2023-12-31,22-013,ATL,Away,WAS,W (+4),1,36:36,9.0,12.0,0.75,2.0,4.0,0.5,4.0,5.0,0.8,0.0,13.0,13.0,4.0,0.0,0.0,1.0,2.0,24.0,23.7,-13.0
Jalen Johnson,ATL,33,19.0,2024-01-03,22-016,ATL,,OKC,W (+3),1,28:56,11.0,18.0,0.611,2.0,4.0,0.5,4.0,4.0,1.0,1.0,6.0,7.0,3.0,4.0,0.0,1.0,5.0,28.0,25.4,-1.0
Jalen Johnson,ATL,34,20.0,2024-01-05,22-018,ATL,Away,IND,L (-34),1,29:02,5.0,11.0,0.455,1.0,4.0,0.25,1.0,1.0,1.0,1.0,7.0,8.0,3.0,1.0,0.0,0.0,1.0,12.0,11.8,-26.0
Jalen Johnson,ATL,35,21.0,2024-01-07,22-020,ATL,Away,ORL,L (-7),1,40:17,6.0,12.0,0.5,0.0,4.0,0.0,0.0,0.0,,1.0,10.0,11.0,4.0,0.0,1.0,3.0,6.0,12.0,7.8,-20.0
Jalen Johnson,ATL,36,22.0,2024-01-10,22-023,ATL,,PHI,W (+7),1,40:56,8.0,13.0,0.615,3.0,4.0,0.75,6.0,6.0,1.0,2.0,14.0,16.0,7.0,1.0,2.0,1.0,3.0,25.0,29.8,6.0
Jalen Johnson,ATL,37,23.0,2024-01-12,22-025,ATL,,IND,L (-18),1,32:28,7.0,11.0,0.636,1.0,2.0,0.5,1.0,3.0,0.333,0.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,16.0,11.4,-17.0
Jalen Johnson,ATL,38,24.0,2024-01-13,22-026,ATL,,WAS,L (-28),1,35:52,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,0.0,6.0,6.0,3.0,0.0,2.0,4.0,3.0,5.0,1.0,-23.0
Jalen Johnson,ATL,39,25.0,2024-01-15,22-028,ATL,,SAS,W (+10),1,37:36,7.0,13.0,0.538,1.0,2.0,0.5,1.0,1.0,1.0,0.0,10.0,10.0,7.0,6.0,0.0,5.0,3.0,16.0,17.4,16.0
Jalen Johnson,ATL,40,26.0,2024-01-17,22-030,ATL,,ORL,W (+2),1,38:10,3.0,9.0,0.333,1.0,2.0,0.5,3.0,5.0,0.6,0.0,9.0,9.0,3.0,2.0,0.0,4.0,3.0,10.0,5.7,9.0
Jalen Johnson,ATL,41,27.0,2024-01-19,22-032,ATL,Away,MIA,W (+1),1,33:37,7.0,14.0,0.5,1.0,4.0,0.25,0.0,0.0,,2.0,5.0,7.0,2.0,2.0,0.0,2.0,1.0,15.0,11.9,1.0
Jalen Johnson,ATL,42,28.0,2024-01-20,22-033,ATL,,CLE,L (-21),1,33:46,8.0,16.0,0.5,1.0,5.0,0.2,3.0,6.0,0.5,1.0,6.0,7.0,4.0,1.0,2.0,1.0,2.0,20.0,16.7,-19.0
Jalen Johnson,ATL,43,29.0,2024-01-22,22-035,ATL,Away,SAC,L (-15),1,37:47,4.0,18.0,0.222,1.0,7.0,0.143,2.0,4.0,0.5,2.0,5.0,7.0,0.0,1.0,2.0,0.0,1.0,11.0,4.1,-24.0
Jalen Johnson,ATL,44,30.0,2024-01-24,22-037,ATL,Away,GSW,L (-22),1,36:15,8.0,16.0,0.5,2.0,6.0,0.333,3.0,5.0,0.6,1.0,8.0,9.0,6.0,1.0,0.0,0.0,4.0,21.0,18.9,-6.0
Jalen Johnson,ATL,45,31.0,2024-01-26,22-039,ATL,,DAL,L (-5),1,37:15,10.0,12.0,0.833,2.0,3.0,0.667,3.0,4.0,0.75,0.0,3.0,3.0,3.0,1.0,1.0,0.0,6.0,25.0,22.5,6.0
