Player,Tm,PTS,Points_Running_Avg,player_points_line
Jarrett Allen,CLE,17.0,13.0,15.5
Jarrett Allen,CLE,19.0,13.28,15.5
Jarrett Allen,CLE,16.0,14.357,17.5
Jarrett Allen,CLE,17.0,14.448,19.5
Jarrett Allen,CLE,12.0,14.367,18.5
Jarrett Allen,CLE,29.0,14.839,16.5
Jarrett Allen,CLE,12.0,14.75,17.5
Jarrett Allen,CLE,10.0,14.606,17.5
Jarrett Allen,CLE,21.0,14.794,16.5
Jarrett Allen,CLE,14.0,14.75,16.5
Jarrett Allen,CLE,21.0,14.919,14.5
Jarrett Allen,CLE,24.0,15.158,16.5
Jarrett Allen,CLE,20.0,15.282,16.5
Isaac Okoro,CLE,12.0,11.4,10.5
Isaac Okoro,CLE,9.0,12.071,11.5
Isaac Okoro,CLE,8.0,11.8,10.5
Isaac Okoro,CLE,3.0,11.25,10.5
Isaac Okoro,CLE,12.0,11.294,9.5
Isaac Okoro,CLE,8.0,10.905,10.5
Isaac Okoro,CLE,10.0,10.864,
Isaac Okoro,CLE,3.0,10.522,8.5
Isaac Okoro,CLE,17.0,10.792,7.5
Kyrie Irving,DAL,29.0,22.842,21.5
Kyrie Irving,DAL,24.0,22.9,24.5
Kyrie Irving,DAL,33.0,23.909,25.5
Kyrie Irving,DAL,44.0,24.783,30.5
Kyrie Irving,DAL,33.0,25.125,32.5
Kyrie Irving,DAL,42.0,25.8,33.5
Kyrie Irving,DAL,23.0,25.185,26.5
Tim Hardaway Jr.,DAL,18.0,19.0,18.5
Tim Hardaway Jr.,DAL,41.0,24.0,22.5
Josh Green,DAL,13.0,8.0,9.5
Dereck Lively II,DAL,20.0,9.087,8.5
Dereck Lively II,DAL,0.0,8.464,9.5
Dereck Lively II,DAL,6.0,8.548,7.5
Dereck Lively II,DAL,9.0,8.545,8.5
Dereck Lively II,DAL,20.0,9.0,8.5
Derrick Jones Jr.,DAL,19.0,9.96,10.5
Derrick Jones Jr.,DAL,23.0,10.214,10.5
Derrick Jones Jr.,DAL,5.0,10.03,10.5
Derrick Jones Jr.,DAL,11.0,10.167,10.5
