Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2024-01-19,Trae Young,9.5,1.62,2.24,25.5,1.77,2.0,2.5,1.74,2.05
2024-01-19,Tyler Herro,3.5,1.62,2.24,22.5,1.74,2.1,5.5,2.2,1.67
2024-01-03,Anthony Edwards,5.5,2.2,1.67,28.5,1.83,1.91,5.5,2.14,1.69
2024-01-03,Karl-Anthony Towns,2.5,1.62,2.24,21.5,1.91,1.83,8.5,2.0,1.77
2024-01-03,Mike Conley,6.5,2.05,1.74,11.5,1.91,1.83,2.5,2.24,1.62
2024-01-03,Jaden McDaniels,,,,11.5,1.95,1.8,2.5,1.87,1.87
2024-01-03,Rudy Gobert,,,,13.5,1.83,1.91,12.5,2.05,1.74
2024-01-09,Anfernee Simons,4.5,2.05,1.74,24.5,1.87,1.87,3.5,1.74,2.05
2024-01-09,Donte DiVincenzo,2.5,2.05,1.74,12.5,1.87,1.87,3.5,1.87,1.87
2024-01-09,Isaiah Hartenstein,2.5,2.05,1.74,9.5,1.77,2.0,11.5,1.95,1.8
2024-01-09,Jalen Brunson,7.5,1.71,2.1,27.5,1.77,2.0,3.5,1.69,2.14
2024-01-09,Jerami Grant,2.5,2.05,1.74,18.5,1.83,1.91,3.5,1.74,2.05
2024-01-09,Julius Randle,3.5,1.67,2.2,28.5,1.74,2.05,9.5,1.91,1.83
2024-01-09,Scoot Henderson,5.5,1.87,1.87,12.5,1.95,1.8,3.5,1.95,1.8
2024-01-09,OG Anunoby,,,,13.5,1.95,1.8,4.5,1.95,1.8
2024-01-29,Alperen Sengun,4.5,1.77,2.0,21.5,1.87,1.87,9.5,1.95,1.8
2024-01-29,Anthony Davis,3.5,1.95,1.8,24.5,1.87,1.87,11.5,1.69,2.14
2024-01-29,Austin Reaves,4.5,1.71,2.1,14.5,1.83,1.91,3.5,2.35,1.57
2024-01-29,D'Angelo Russell,5.5,1.8,1.95,17.5,1.8,1.95,2.5,1.95,1.8
2024-01-29,Fred VanVleet,7.5,1.91,1.83,14.5,1.8,1.95,3.5,2.35,1.57
2024-01-29,Jalen Green,2.5,1.6,2.3,18.5,1.8,1.95,4.5,1.83,1.91
