Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2023-12-23,Coby White,5.5,1.87,1.87,21.5,1.91,1.83,4.5,1.77,2.0
2023-12-23,Craig Porter Jr.,6.5,1.91,1.83,11.5,1.77,2.0,3.5,1.74,2.05
2023-12-23,DeMar DeRozan,5.5,1.69,2.14,23.5,1.91,1.83,4.5,2.05,1.74
2023-12-23,Isaac Okoro,2.5,1.69,2.14,10.5,2.0,1.77,4.5,2.0,1.77
2023-12-23,Jarrett Allen,2.5,2.14,1.69,15.5,1.8,1.95,9.5,1.8,1.95
2023-12-23,Max Strus,4.5,2.2,1.67,19.5,1.95,1.8,4.5,1.67,2.2
2023-12-23,Nikola Vucevic,2.5,1.62,2.24,17.5,1.8,1.95,10.5,1.74,2.05
2023-12-23,Dean Wade,,,,7.5,1.83,1.91,5.5,1.87,1.87
2023-12-23,Patrick Williams,,,,12.5,1.77,2.0,5.5,1.95,1.8
2023-12-23,Brandon Miller,2.5,1.77,2.0,17.5,1.95,1.8,4.5,2.14,1.69
2023-12-23,Gordon Hayward,4.5,2.1,1.71,14.5,1.95,1.8,3.5,1.62,2.24
2023-12-23,Miles Bridges,2.5,2.05,1.74,18.5,1.83,1.91,6.5,1.91,1.83
2023-12-23,Terry Rozier,6.5,1.77,2.0,23.5,1.87,1.87,3.5,2.05,1.74
2023-12-23,Nick Richards,,,,7.5,1.95,1.8,7.5,2.0,1.77
2023-12-29,De'Anthony Melton,3.5,1.95,1.8,14.5,1.87,1.87,4.5,1.87,1.87
2023-12-29,Tobias Harris,2.5,1.57,2.35,21.5,1.83,1.91,6.5,1.77,2.0
2023-12-29,Tyrese Maxey,6.5,1.95,1.8,27.5,1.87,1.87,3.5,1.74,2.05
2023-12-31,CJ McCollum,5.5,2.12,1.7,18.5,1.94,1.83,3.5,1.88,1.88
2023-12-31,Zion Williamson,4.5,1.83,1.94,22.5,1.8,1.98,6.5,1.78,2.0
2023-12-31,Brandon Ingram,5.5,1.93,1.85,22.5,1.9,1.87,4.5,2.08,1.72
2023-12-22,Klay Thompson,2.5,2.0,1.77,21.5,1.95,1.8,4.5,2.2,1.67
2023-12-22,Kyle Kuzma,4.5,2.24,1.62,25.5,1.8,1.95,6.5,1.6,2.3
2023-12-22,Stephen Curry,5.5,1.67,2.2,29.5,1.74,2.05,4.5,1.57,2.35
2023-12-23,Anthony Edwards,5.5,2.14,1.69,29.5,1.87,1.87,5.5,1.67,2.2
2023-12-23,De'Aaron Fox,6.5,1.87,1.87,27.5,1.74,2.05,4.5,2.14,1.69
2023-12-23,Domantas Sabonis,7.5,2.14,1.69,17.5,1.8,1.95,11.5,1.95,1.8
2023-12-23,Kevin Huerter,2.5,2.1,1.71,10.5,2.0,1.77,3.5,1.87,1.87
2023-12-23,Mike Conley,7.5,1.77,2.0,13.5,1.91,1.83,2.5,1.62,2.24
2023-12-23,Harrison Barnes,,,,10.5,1.77,2.0,3.5,1.95,1.8
2023-12-23,Jaden McDaniels,,,,13.5,1.8,1.95,3.5,1.62,2.24
2023-12-23,Keegan Murray,,,,16.5,1.83,1.91,5.5,1.8,1.95
2023-12-23,Rudy Gobert,,,,14.5,1.91,1.83,13.5,1.87,1.87
2023-12-23,Devin Vassell,3.5,2.14,1.69,18.5,1.87,1.87,3.5,1.6,2.3
2023-12-23,Jeremy Sochan,4.5,2.2,1.67,11.5,1.91,1.83,6.5,2.0,1.77
2023-12-23,Keldon Johnson,3.5,1.67,2.2,18.5,1.87,1.87,6.5,1.77,2.0
2023-12-23,Malaki Branham,2.5,1.6,2.3,11.5,1.91,1.83,3.5,2.2,1.67
2023-12-23,Victor Wembanyama,3.5,2.0,1.77,18.5,1.91,1.83,11.5,1.77,2.0
2023-12-28,Brandon Ingram,5.5,1.67,2.2,23.5,1.8,1.95,4.5,1.69,2.14
2023-12-28,CJ McCollum,4.5,1.56,2.4,17.5,1.8,1.95,3.5,1.83,1.91
2023-12-28,Herbert Jones,2.5,2.0,1.77,8.5,1.77,2.0,3.5,1.87,1.87
2023-12-28,Jonas Valanciunas,2.5,2.2,1.67,15.5,1.91,1.83,10.5,1.8,1.95
2023-12-28,Zion Williamson,4.5,2.0,1.77,23.5,1.8,1.95,6.5,1.77,2.0
2023-12-28,Lauri Markkanen,,,,24.5,1.87,1.87,7.5,1.83,1.91
2023-12-23,Anthony Davis,2.5,2.14,1.69,28.5,1.77,2.0,14.5,2.0,1.77
2023-12-23,Chet Holmgren,2.5,2.3,1.6,17.5,1.83,1.91,8.5,1.67,2.2
2023-12-23,Jalen Williams,3.5,1.62,2.24,16.5,1.83,1.91,4.5,2.2,1.67
2023-12-23,LeBron James,8.5,2.05,1.74,26.5,1.95,1.8,8.5,1.77,2.0
